Item type,Dataset Size,Dataset Shape,Dataset Type,Item name/path
Group,N/A,N/A,N/A,AwakeEventData
Group,N/A,N/A,N/A,AwakeEventData/AIRTR01
Group,N/A,N/A,N/A,AwakeEventData/AIRTR01/Acq
Dataset,1,(1,),float32,AwakeEventData/AIRTR01/Acq/numericPosition
Group,N/A,N/A,N/A,AwakeEventData/AIRTR02
Group,N/A,N/A,N/A,AwakeEventData/AIRTR02/Acq
Dataset,1,(1,),float32,AwakeEventData/AIRTR02/Acq/numericPosition
Group,N/A,N/A,N/A,AwakeEventData/AWAKEInjPhaseShifter
Group,N/A,N/A,N/A,AwakeEventData/AWAKEInjPhaseShifter/PhaseReadback
Dataset,1,(1,),float32,AwakeEventData/AWAKEInjPhaseShifter/PhaseReadback/phaseACurrentValue
Group,N/A,N/A,N/A,AwakeEventData/BLMITT41
Group,N/A,N/A,N/A,AwakeEventData/BLMITT41/Acquisition
Dataset,1,(1,),|S1,AwakeEventData/BLMITT41/Acquisition/acqDesc
Dataset,1,(1,),|S1,AwakeEventData/BLMITT41/Acquisition/acqMsg
Dataset,1,(1,),int32,AwakeEventData/BLMITT41/Acquisition/acqState
Dataset,1,(1,),int32,AwakeEventData/BLMITT41/Acquisition/acqTime
Dataset,40,(40,),int16,AwakeEventData/BLMITT41/Acquisition/alarmStatus
Dataset,40,(40,),int16,AwakeEventData/BLMITT41/Acquisition/blrSignalStatus
Dataset,40,(40,),float32,AwakeEventData/BLMITT41/Acquisition/calLosses
Dataset,1,(1,),|S4,AwakeEventData/BLMITT41/Acquisition/calLosses_unit
Dataset,1,(1,),int32,AwakeEventData/BLMITT41/Acquisition/calLosses_unitExponent
Dataset,40,(40,),float32,AwakeEventData/BLMITT41/Acquisition/calThresholds
Dataset,15,(15,),|S15,AwakeEventData/BLMITT41/Acquisition/channelNames
Dataset,1,(1,),|S5,AwakeEventData/BLMITT41/Acquisition/deviceName
Dataset,2,(2,),int32,AwakeEventData/BLMITT41/Acquisition/enableExtFlagBIC
Dataset,1,(1,),int32,AwakeEventData/BLMITT41/Acquisition/measStamp
Dataset,1,(1,),int32,AwakeEventData/BLMITT41/Acquisition/nbOfChannels
Dataset,1,(1,),int32,AwakeEventData/BLMITT41/Acquisition/nbOfMeas
Dataset,40,(40,),float32,AwakeEventData/BLMITT41/Acquisition/normLosses
Dataset,1,(1,),int32,AwakeEventData/BLMITT41/Acquisition/observables
Dataset,40,(40,),int16,AwakeEventData/BLMITT41/Acquisition/rawLosses
Dataset,1,(1,),int32,AwakeEventData/BLMITT41/Acquisition/superCycleNb
Dataset,5,(5,),int32,AwakeEventData/BLMITT41/Acquisition/totalGains
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.01TCC4.AWAKECAM01
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/beamIntensity
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/beamSize
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/cogX
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/cogY
Dataset,1,(1,),int32,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/height
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjAmp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjAvg
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjSigma
Dataset,2048,(2048,),float64,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjection
Dataset,2211840,(1080, 2048),int16,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/imageRawData
Dataset,1,(1,),int64,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/imageTimeStamp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityAvg
Dataset,1000,(1000,),int32,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityHistogram
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityRMS
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensitySigma
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/pixelSize
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjAmp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjAvg
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjSigma
Dataset,1080,(1080,),float64,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjection
Dataset,1,(1,),int32,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/width
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/delayTime
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/exposureTime
Dataset,1,(1,),int64,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/gain
Dataset,1,(1,),|S2,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/triggerMode
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.01TCV4.CAM8
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/beamIntensity
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/beamSize
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/cogX
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/cogY
Dataset,1,(1,),int32,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/height
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjAmp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjAvg
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjSigma
Dataset,2592,(2592,),float64,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjection
Dataset,5308416,(2048, 2592),int16,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/imageRawData
Dataset,1,(1,),int64,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/imageTimeStamp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensityAvg
Dataset,1000,(1000,),int32,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensityHistogram
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensityRMS
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensitySigma
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/pixelSize
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjAmp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjAvg
